DENOMINACIÓN,DESCRIPCIÓN DEL PRODUCTO OFERTADO,descripcion_completa,tamano_id
EQUIPO PARA INFUSIÓN INTRAVENOSA CON SISTEMA DE SEGURIDAD COMPATIBLR CON BOMBA INFUSOMAT SPACE LINE SAFESET  BRAUN REF 8270358SP,BAJADA  SPACE LINE 300cm CON SAFESET,equipo para infusión intravenosa con sistema de seguridad compatiblr con bomba infusomat space line safeset  braun ref 8270358sp bajada  space line 300cm con safeset,0
GUANTE ALTO RIESGO LARGO 40 CMS. NITRILO L,GUANTE DE NITRILO DE ALTO RIESGO SMARTMED TALLA L CJAX50,guante alto riesgo largo 40 cms. nitrilo l guante de nitrilo de alto riesgo smartmed talla l cjax50,0
GUANTE ALTO RIESGO LARGO 40 CMS. NITRILO M,GUANTE DE NITRILO DE ALTO RIESGO SMARTMED TALLA M CJAX50,guante alto riesgo largo 40 cms. nitrilo m guante de nitrilo de alto riesgo smartmed talla m cjax50,0
GUANTE ALTO RIESGO LARGO 40 CMS. NITRILO S,GUANTE DE NITRILO DE ALTO RIESGO SMARTMED TALLA S CJAX50,guante alto riesgo largo 40 cms. nitrilo s guante de nitrilo de alto riesgo smartmed talla s cjax50,0
GUANTE DE PROCEDIMIENTO LATEX LARGO,GUANTE EXAM. MUNCARE AQL 1.5  L x100,guante de procedimiento latex largo guante exam. muncare aql 1.5  l x100,0
GUANTE DE PROCEDIMIENTO LATEX SMALL ,GUANTE EXAM. MUNCARE AQL 1.5  S x100,guante de procedimiento latex small  guante exam. muncare aql 1.5  s x100,0
GUANTE DE PROCEDIMIENTO LATEX XS,GUANTE PROCEDIMIENTO LATEX HEALTHOUCH TALLA XS,guante de procedimiento latex xs guante procedimiento latex healthouch talla xs,0
GUANTE DE PROCEDIMIENTO NITRILO ALTO RIESGO LARGO 13” XL (PAR),GUANTE DE PROCEDIMIENTO 100 UNIDADES,guante de procedimiento nitrilo alto riesgo largo 13” xl (par) guante de procedimiento 100 unidades,0
GUANTE DE PROCEDIMIENTO NITRILO LARGO NO ESTERIL,MUNCARE GUANTE NITRILO S/POLVO. TALLA L. CAJA  X100,guante de procedimiento nitrilo largo no esteril muncare guante nitrilo s/polvo. talla l. caja  x100,0
GUANTE DE PROCEDIMIENTO NITRILO SMALL NO ESTERIL,MUNCA.GTE NITR.S/P. TALLA S. CAJA X 100,guante de procedimiento nitrilo small no esteril munca.gte nitr.s/p. talla s. caja x 100,0
GUANTE DE PROCEDIMIENTO NITRILO SIN TALCO XS ,GUANTE EXAMEN NITRILO ANTIMICROBIAL X-SMALL,guante de procedimiento nitrilo sin talco xs  guante examen nitrilo antimicrobial x-small,0
"GUANTE QUIRURGICO LIBRE DE LATEX  N° 7,0 ",2D73PM70 GUANTE PROTEXIS PI MICRO 7.0,"guante quirurgico libre de latex  n° 7,0  2d73pm70 guante protexis pi micro 7.0",0
"GUANTE QUIRURGICO LIBRE DE LATEX  N° 7,5 ",2D73PM75 GUANTE PROTEXIS PI MICRO 7.5,"guante quirurgico libre de latex  n° 7,5  2d73pm75 guante protexis pi micro 7.5",0
GUANTE QUIRURGICO LIBRE DE LATEX N° 6,2D73PM60 GUANTE PROTEXIS PI MICRO 6.0,guante quirurgico libre de latex n° 6 2d73pm60 guante protexis pi micro 6.0,0
GUANTE QUIRURGICO LIBRE DE LATEX N° 6 1/2 ,2D73PM65 GUANTE PROTEXIS PI MICRO 6.5,guante quirurgico libre de latex n° 6 1/2  2d73pm65 guante protexis pi micro 6.5,0
GUANTE QUIRURGICO LIBRE DE LATEX N° 8   ,2D73PM80 GUANTE PROTEXIS PI MICRO 8.0,guante quirurgico libre de latex n° 8    2d73pm80 guante protexis pi micro 8.0,0
GUANTE QUIRURGICO LIBRE DE LATEX N° 8 1/2,2D73PM85 GUANTE PROTEXIS PI MICRO 8.5,guante quirurgico libre de latex n° 8 1/2 2d73pm85 guante protexis pi micro 8.5,0
GUANTE QUIRURGICO LIBRE DE LATEX N°6,2D73PM60 GUANTE PROTEXIS PI MICRO 6.0,guante quirurgico libre de latex n°6 2d73pm60 guante protexis pi micro 6.0,0
"GUANTE QUIRURGICOS N° 6,5 ESTERIL CON TESTIGO DE ESTERILIZACON Y TRAZABILIDAD",GTE.Q.EST.HEALTH PAK ETO Nº6 1/2 (50),"guante quirurgicos n° 6,5 esteril con testigo de esterilizacon y trazabilidad gte.q.est.health pak eto nº6 1/2 (50)",0
GUANTE QUIRURGICOS N° 7 ESTERIL CON TESTIGO DE ESTERILIZACION Y TRAZABILIDAD,GTE.Q.EST.HEALTH PAK ETO Nº7 (50),guante quirurgicos n° 7 esteril con testigo de esterilizacion y trazabilidad gte.q.est.health pak eto nº7 (50),0
"GUANTE QUIRURGICOS N° 7,5 ESTERIL CON TESTIGO DE ESTERILIZACION Y TRAZABILIDAD",GTE.Q.EST.HEALTH PAK ETO Nº7 1/2 (50),"guante quirurgicos n° 7,5 esteril con testigo de esterilizacion y trazabilidad gte.q.est.health pak eto nº7 1/2 (50)",0
GUANTE QUIRURGICOS N° 8 ESTERIL CON TESTIGO DE ESTERILIZACION Y TRAZABILIDAD,GTE.Q.EST.HEALTH PAK ETO Nº8 (50),guante quirurgicos n° 8 esteril con testigo de esterilizacion y trazabilidad gte.q.est.health pak eto nº8 (50),0
"GUANTE QUIRURGICOS N° 8,5 ESTERIL CON TESTIGO DE ESTERILIZACION Y TRAZABILIDAD",GTE.Q.EST.HEALTH PAK ETO Nº8 1/2 (50),"guante quirurgicos n° 8,5 esteril con testigo de esterilizacion y trazabilidad gte.q.est.health pak eto nº8 1/2 (50)",0
GUANTE DE PROCEDIMIENTO VINILO LARGO ESTERIL LIBRE DE LATEX,MUNCARE GUANTE VINILO SIN POLVO L X100,guante de procedimiento vinilo largo esteril libre de latex muncare guante vinilo sin polvo l x100,0
GUANTE DE PROCEDIMIENTO VINILO SMALL ESTERIL LIBRE DE LATEX,MUNCARE GUANTE VINILO SIN POLVO S X100,guante de procedimiento vinilo small esteril libre de latex muncare guante vinilo sin polvo s x100,0
GUANTES ESTERILES L,GTE.EXAM.ESTERIL L/POLVO HEALTH PAK L (50 PR),guantes esteriles l gte.exam.esteril l/polvo health pak l (50 pr),0
GUANTES ESTERILES M,GTE.EXAM.ESTERIL L/POLVO HEALTH PAK M (50 PR),guantes esteriles m gte.exam.esteril l/polvo health pak m (50 pr),0
GUANTES ESTERILES S,GTE.EXAM.ESTERIL L/POLVO HEALTH PAK S (50 PR),guantes esteriles s gte.exam.esteril l/polvo health pak s (50 pr),0
"CATETER ARTERIAL UMBILICAL N° 3,5 FR.",CATETER UMBILICAL ARGYLE 1 LUMEN 3.5FR/25.4CM,"cateter arterial umbilical n° 3,5 fr. cateter umbilical argyle 1 lumen 3.5fr/25.4cm",0
CATETER ARTERIAL UMBILICAL N° 5 FR 100% SILICONA ,CATETER UMBILICAL ARGYLE 1 LUMEN 5.0FR/25.4CM,cateter arterial umbilical n° 5 fr 100% silicona  cateter umbilical argyle 1 lumen 5.0fr/25.4cm,0
CATETER ARTERIAL UMBILICAL N° 5 FR 100% SILICONA,CATETER UMBILICAL ARGYLE 1 LUMEN 5.0FR/25.4CM,cateter arterial umbilical n° 5 fr 100% silicona cateter umbilical argyle 1 lumen 5.0fr/25.4cm,0
CATETER UMBILICAL VENOSO DOBLE LUMEN 5 FR 38 CM (SILMAG REF. 544-50-D ),CATETER UMBILICAL ARGYLE DOBLE LUMEN 5FR,cateter umbilical venoso doble lumen 5 fr 38 cm (silmag ref. 544-50-d ) cateter umbilical argyle doble lumen 5fr,0
"CATETER PERCUTANEO NEONATAL DOBLE LUMEN 1,9 FR.PEEL -AWAY CON INTRODUCTOR (REF: MEDTRONIC, KITCHPICC 192)","KIT SIMPLE PICC 1,9 DOBLE LUMEN C/INTRODUCTOR","cateter percutaneo neonatal doble lumen 1,9 fr.peel -away con introductor (ref: medtronic, kitchpicc 192) kit simple picc 1,9 doble lumen c/introductor",0
